"DriveNum","x","y","v","xped","yped","crash","rt","Rtotal"
0,0,0,0,0,0,0,0.0,0.0
1,5,-99,4,4,4,0,4.276666119016055,2106.5909935983277
1,9,-75,4,0,5,0,7.300569269536743,2106.5909935983277
1,9,-50,4,0,-1,0,10.324472420057429,2106.5909935983277
1,9,-31,4,0,-5,0,13.348375570578117,2106.5909935983277
1,9,-16,4,0,2,0,16.372278721098805,2106.5909935983277
1,9,6,4,-2,-1,0,21.342092020674805,2106.5909935983277
1,7,25,4,2,2,0,2106.5909935983277,2106.5909935983277
2,5,-99,4,2,4,0,4.969813299576001,1922.9797008100754
2,7,-75,4,2,4,0,8.55333223803211,1922.9797008100754
2,9,-51,4,0,-5,0,11.577235388552797,1922.9797008100754
2,9,-36,4,0,-3,0,14.601138539073485,1922.9797008100754
2,9,-19,4,0,-1,0,17.625041689594173,1922.9797008100754
2,9,0,4,0,-4,0,20.64894484011486,1922.9797008100754
2,9,16,4,0,0,0,1922.9797008100754,1922.9797008100754
3,5,-99,4,1,2,0,4.969813299576001,3919.3478082873353
3,6,-77,4,-5,1,0,9.939626599152001,3919.3478082873353
3,1,-58,3,-1,3,0,13.300001986293902,3919.3478082873353
3,0,-42,2,0,5,0,16.323905136814588,3919.3478082873353
3,0,-29,1,0,3,0,3919.3478082873353,3919.3478082873353
4,5,-99,4,-1,3,0,4.969813299576001,6641.463224765983
4,4,-78,3,-2,0,0,9.246479418592056,6641.463224765983
4,2,-65,2,3,1,0,14.216292718168056,6641.463224765983
4,5,-56,1,-5,3,0,6641.463224765983,6641.463224765983
5,5,-99,4,4,0,0,2.330755969960742,1224.9256109591308
5,9,-79,4,0,0,0,4.661511939921484,1224.9256109591308
5,9,-59,4,0,1,0,7.685415090442171,1224.9256109591308
5,9,-38,4,-4,1,0,12.655228390018172,1224.9256109591308
5,5,-19,3,-5,-2,0,17.625041689594173,1224.9256109591308
5,0,-8,2,0,-2,0,20.64894484011486,1224.9256109591308
5,0,-2,1,4,0,0,1224.9256109591308,1224.9256109591308
6,5,-99,4,4,1,0,4.276666119016055,1667.5003507494216
6,9,-78,4,-4,4,0,9.246479418592056,1667.5003507494216
6,5,-56,3,-1,0,0,13.523145537608112,1667.5003507494216
6,4,-43,2,5,-2,0,18.492958837184112,1667.5003507494216
6,9,-35,2,-2,-5,0,23.462772136760112,1667.5003507494216
6,7,-30,2,2,4,0,27.04629107521622,1667.5003507494216
6,9,-16,2,-5,0,0,31.322957194232277,1667.5003507494216
6,4,-8,1,4,-5,0,36.29277049380828,1667.5003507494216
6,8,-8,1,1,1,0,39.65314588095018,1667.5003507494216
