# trial, step, v, x_car, y_car, x_ped, y_ped, del_x, del_y, reward, v_new, x_car_new, y_car_new, x_ped_new, y_ped_new
0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-5.000000000000000000e+00,-1.492394164351644736e-01,-1.618240345281915404e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,4.985076058356483486e+01
0.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.500000000000000000e+00,4.985076058356483486e+01,-5.000000000000000000e+00,2.000000000000000000e+00,-1.706428452881892044e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,-3.500000000000000000e+00,5.185076058356483486e+01
0.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,-3.500000000000000000e+00,5.185076058356483486e+01,-5.000000000000000000e+00,1.243817222255692023e-01,-1.152773800441147250e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,-8.500000000000000000e+00,5.197514230579040628e+01
1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,2.620090704405468429e+00,-2.000000000000000000e+00,-1.818201500667665504e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,9.120090704405468429e+00,4.800000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,9.120090704405468429e+00,4.800000000000000000e+01,3.094769116010363419e+00,1.870544594208039868e+00,-1.890951209568828117e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.221485982041583185e+01,4.987054459420804164e+01
1.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.221485982041583185e+01,4.987054459420804164e+01,8.464911653126394597e-01,2.000000000000000000e+00,-1.118061329780582309e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,1.306135098572847042e+01,5.187054459420804164e+01
2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-1.896083872722863717e+00,-1.901128870609308352e+00,-1.083623484619126165e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,4.603916127277136283e+00,4.809887112939069453e+01
2.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,4.603916127277136283e+00,4.809887112939069453e+01,-2.687792034622729531e+00,-1.724868495979686278e+00,-1.164307161110895716e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.916124092654406752e+00,4.637400263341100981e+01
2.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.916124092654406752e+00,4.637400263341100981e+01,4.770919748052527609e+00,-2.000000000000000000e+00,-1.133069518534063718e+04,3.000000000000000000e+00,4.500000000000000000e+00,5.750000000000000000e+01,6.687043840706934361e+00,4.437400263341100981e+01
3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,3.505440766882118808e+00,2.000000000000000000e+00,-1.962351058670610549e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.000544076688211881e+01,5.200000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,1.000544076688211881e+01,5.200000000000000000e+01,-5.000000000000000000e+00,7.449576849417889335e-01,-1.631108815633493414e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,5.005440766882118808e+00,5.274495768494178805e+01
3.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,5.005440766882118808e+00,5.274495768494178805e+01,5.000000000000000000e+00,2.513303875326049486e-01,-1.089085273082262029e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,1.000544076688211881e+01,5.299628807247439255e+01
4.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,2.356713370426481546e+00,2.666801606203526021e-01,-1.697691740378331815e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,8.856713370426481546e+00,5.026668016062035349e+01
4.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,8.856713370426481546e+00,5.026668016062035349e+01,3.015068638569427861e+00,2.294722644135487322e-01,-1.827544769828093774e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.187178200899590941e+01,5.049615242503390533e+01
4.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,1.187178200899590941e+01,5.049615242503390533e+01,-5.187958925189164461e-01,9.986230437687355632e-01,-1.109225575319477139e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,1.135298611647699296e+01,5.149477546880264356e+01
5.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,1.479213145689000086e+00,1.136950953291365085e+00,-1.531068017541963755e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.979213145689000086e+00,5.113695095329136819e+01
5.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.979213145689000086e+00,5.113695095329136819e+01,6.639332195988583152e-01,-7.987632902101255983e-01,-1.287374474920312206e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.643146365287858401e+00,5.033818766308124282e+01
5.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.643146365287858401e+00,5.033818766308124282e+01,-5.000000000000000000e+00,2.934753952974578084e-02,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,3.643146365287858401e+00,5.036753520261098771e+01
6.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-2.392599215075721375e-01,1.630538852812126738e+00,-1.158719425363421207e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.260740078492427862e+00,5.163053885281212985e+01
6.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.260740078492427862e+00,5.163053885281212985e+01,-1.747689606800061135e+00,1.144079705807104386e+00,-7.789979017473634970e-01,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,4.513050471692366727e+00,5.277461855861923112e+01
6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,4.513050471692366727e+00,5.277461855861923112e+01,4.366579061476878465e+00,2.000000000000000000e+00,-1.068180470851802420e+04,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,8.879629533169245192e+00,5.477461855861923112e+01
7.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,-7.302923935896590280e-01,3.708945728641896977e-01,-6.745074652351148448e-01,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,5.769707606410340972e+00,5.037089457286418792e+01
7.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,5.769707606410340972e+00,5.037089457286418792e+01,-3.555127599581846543e+00,-3.226407196478533468e-01,-1.222271248542309507e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,2.214580006828494430e+00,5.004825385321633746e+01
